iter	Passed	Remaining
0	1	136
1	2	121
2	3	119
3	4	114
4	5	113
5	7	113
6	8	111
7	9	110
8	10	108
9	11	107
10	12	105
11	14	103
12	15	102
13	16	100
14	17	99
15	18	99
16	20	100
17	22	100
18	23	100
19	24	99
20	26	99
21	27	98
22	28	96
23	30	95
24	31	94
25	32	93
26	33	91
27	35	91
28	36	90
29	38	88
30	39	87
31	40	86
32	42	85
33	43	84
34	44	82
35	45	81
36	47	80
37	48	79
38	50	78
39	51	77
40	52	75
41	53	73
42	54	72
43	56	71
44	57	70
45	58	68
46	60	67
47	61	66
48	62	65
49	64	64
50	65	62
51	66	61
52	67	60
53	68	58
54	69	57
55	71	55
56	72	54
57	74	53
58	75	52
59	76	51
60	78	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	43
66	86	42
67	87	41
68	89	40
69	90	38
70	92	37
71	93	36
72	95	35
73	96	33
74	97	32
75	99	31
76	100	29
77	101	28
78	102	27
79	104	26
80	105	24
81	106	23
82	108	22
83	109	20
84	110	19
85	111	18
86	113	16
87	114	15
88	115	14
89	117	13
90	118	11
91	119	10
92	121	9
93	122	7
94	123	6
95	125	5
96	126	3
97	127	2
98	129	1
99	130	0
